ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
929	3013	5682	Power	TER	1000	CF_Dist_Line
930	3013	5688	Power	TER	1000	CF_Dist_Line
931	3013	5581	Power	TER	1000	CF_Dist_Line
932	3013	5701	Power	TER	1000	CF_Dist_Line
933	3001	5756	Power	TER	1000	CF_Dist_Line
934	3001	5720	Power	TER	1000	CF_Dist_Line
935	3001	5580	Power	TER	1000	CF_Dist_Line
936	3001	5667	Power	TER	1000	CF_Dist_Line
937	3001	5732	Power	TER	1000	CF_Dist_Line
938	3001	5550	Power	TER	1000	CF_Dist_Line
939	2505	5766	Power	TER	1000	CF_Dist_Line
940	2506	5552	Power	TER	1000	CF_Dist_Line
941	2506	5743	Power	TER	1000	CF_Dist_Line
942	2506	5744	Power	TER	1000	CF_Dist_Line
943	2506	5669	Power	TER	1000	CF_Dist_Line
944	2502	5606	Power	TER	1000	CF_Dist_Line
945	2502	5540	Power	TER	1000	CF_Dist_Line
946	2502	5737	Power	TER	1000	CF_Dist_Line
947	2502	5721	Power	TER	1000	CF_Dist_Line
948	2502	5712	Power	TER	1000	CF_Dist_Line
949	2502	5597	Power	TER	1000	CF_Dist_Line
950	2502	5696	Power	TER	1000	CF_Dist_Line
951	2502	5710	Power	TER	1000	CF_Dist_Line
952	2502	5686	Power	TER	1000	CF_Dist_Line
953	2510	5738	Power	TER	1000	CF_Dist_Line
954	3007	5765	Power	TER	1000	CF_Dist_Line
955	2510	5590	Power	TER	1000	CF_Dist_Line
956	2510	5562	Power	TER	1000	CF_Dist_Line
957	2510	5555	Power	TER	1000	CF_Dist_Line
958	2510	5711	Power	TER	1000	CF_Dist_Line
959	3012	5551	Power	TER	1000	CF_Dist_Line
960	3012	5719	Power	TER	1000	CF_Dist_Line
961	2510	5575	Power	TER	1000	CF_Dist_Line
962	2502	5697	Power	TER	1000	CF_Dist_Line
963	3003	5553	Power	TER	1000	CF_Dist_Line
964	3003	5599	Power	TER	1000	CF_Dist_Line
965	3003	5727	Power	TER	1000	CF_Dist_Line
966	3003	5677	Power	TER	1000	CF_Dist_Line
967	3003	5542	Power	TER	1000	CF_Dist_Line
968	3004	5598	Power	TER	1000	CF_Dist_Line
969	3004	5585	Power	TER	1000	CF_Dist_Line
970	3004	5541	Power	TER	1000	CF_Dist_Line
971	2507	5749	Power	TER	1000	CF_Dist_Line
972	3003	5538	Power	TER	1000	CF_Dist_Line
973	3004	5560	Power	TER	1000	CF_Dist_Line
974	3004	5539	Power	TER	1000	CF_Dist_Line
975	3004	5758	Power	TER	1000	CF_Dist_Line
976	3004	5750	Power	TER	1000	CF_Dist_Line
977	3004	5726	Power	TER	1000	CF_Dist_Line
978	3004	5678	Power	TER	1000	CF_Dist_Line
979	3004	5600	Power	TER	1000	CF_Dist_Line
980	3004	5734	Power	TER	1000	CF_Dist_Line
981	3004	5751	Power	TER	1000	CF_Dist_Line
982	3004	5587	Power	TER	1000	CF_Dist_Line
983	2508	5754	Power	TER	1000	CF_Dist_Line
984	3010	5681	Power	TER	1000	CF_Dist_Line
985	3010	5742	Power	TER	1000	CF_Dist_Line
986	3010	5557	Power	TER	1000	CF_Dist_Line
987	3015	5753	Power	TER	1000	CF_Dist_Line
988	3015	5731	Power	TER	1000	CF_Dist_Line
989	2512	5679	Power	TER	1000	CF_Dist_Line
990	2507	5718	Power	TER	1000	CF_Dist_Line
991	2507	5608	Power	TER	1000	CF_Dist_Line
992	2507	5705	Power	TER	1000	CF_Dist_Line
993	2512	5761	Power	TER	1000	CF_Dist_Line
994	2512	5759	Power	TER	1000	CF_Dist_Line
995	2512	5760	Power	TER	1000	CF_Dist_Line
996	2512	5593	Power	TER	1000	CF_Dist_Line
997	2512	5735	Power	TER	1000	CF_Dist_Line
998	2512	5594	Power	TER	1000	CF_Dist_Line
999	2512	5704	Power	TER	1000	CF_Dist_Line
1000	2512	5676	Power	TER	1000	CF_Dist_Line
1001	2512	5752	Power	TER	1000	CF_Dist_Line
1002	2507	5556	Power	TER	1000	CF_Dist_Line
1003	2507	5728	Power	TER	1000	CF_Dist_Line
1004	2507	5692	Power	TER	1000	CF_Dist_Line
1005	2507	5596	Power	TER	1000	CF_Dist_Line
1006	2512	5706	Power	TER	1000	CF_Dist_Line
1007	2512	5724	Power	TER	1000	CF_Dist_Line
1008	2507	5607	Power	TER	1000	CF_Dist_Line
1009	2507	5684	Power	TER	1000	CF_Dist_Line
1010	2507	5693	Power	TER	1000	CF_Dist_Line
1011	3015	5762	Power	TER	1000	CF_Dist_Line
1012	3015	5770	Power	TER	1000	CF_Dist_Line
1013	3015	5680	Power	TER	1000	CF_Dist_Line
1014	2513	5715	Power	TER	1000	CF_Dist_Line
1015	2513	5699	Power	TER	1000	CF_Dist_Line
1016	3015	5736	Power	TER	1000	CF_Dist_Line
1017	3015	5713	Power	TER	1000	CF_Dist_Line
1018	3015	5769	Power	TER	1000	CF_Dist_Line
1019	3015	5763	Power	TER	1000	CF_Dist_Line
1020	2503	5757	Power	TER	1000	CF_Dist_Line
1021	2509	5764	Power	TER	1000	CF_Dist_Line
1022	2509	5546	Power	TER	1000	CF_Dist_Line
1023	2509	5767	Power	TER	1000	CF_Dist_Line
3651	2511	3017	Power	Power	100000	Trans_Line
3652	3017	5578	Power	TER	1000	CF_Dist_Line
3653	3017	5740	Power	TER	1000	CF_Dist_Line
3654	3017	5633	Power	TER	1000	CF_Dist_Line
3655	3017	5571	Power	TER	1000	CF_Dist_Line
3656	3017	5576	Power	TER	1000	CF_Dist_Line
