ID_Master_Node	Definition	Infras_Type	Power_Use	Node_Type	MinGX	MinGY		
160	Intersection	TER	22	1	33962153	25001206		
161	Intersection	TER	22	1	33961691	24984914		
163	Intersection	TER	22	1	33955599	24919631		
165	Intersection	TER	0	1	34723176	25018582		
166	Intersection	TER	0	1	33131780	25305984		
167	Intersection	TER	22	1	34006470	24921780		
168	Intersection	TER	22	1	33950811	24959641		
169	Intersection	TER	22	1	33958179	24980830		
170	Intersection	TER	22	1	33954517	25003344		
171	Intersection	TER	0	1	33936608	25037664		
172	Intersection	TER	0	1	33935102	25040888		
173	Intersection	TER	22	1	34443731	25031970		
174	Intersection	TER	0	1	33914247	24997943		
175	Intersection	TER	0	1	33918284	24996786		
176	Intersection	TER	0	1	33922825	25027889		
177	Intersection	TER	0	1	33918923	25028871		
178	Intersection	TER	0	1	33888230	24967024		
179	Intersection	TER	0	1	33900061	24964211		
180	Intersection	TER	0	1	33880347	24947815		
181	Intersection	TER	0	1	33893964	24937191		
182	Intersection	TER	0	1	33217787	24520389		
183	Intersection	TER	0	1	33226125	24530193		
184	Intersection	TER	0	1	33873762	24682199		
185	Intersection	TER	0	1	33850226	24675412		
186	Intersection	TER	0	1	33633370	24606931		
187	Intersection	TER	0	1	33629835	24607012		
188	Intersection	TER	0	1	33269096	24466905		
189	Intersection	TER	0	1	33255166	24465391		
190	Intersection	TER	22	1	33850228	24779538		
191	Intersection	TER	22	1	33838819	24778628		
192	Intersection	TER	0	1	33878501	24995628		
193	Intersection	TER	0	1	33888601	25005735		
194	Intersection	TER	22	1	33869850	25030880		
195	Intersection	TER	22	1	33874993	25034938		
196	Intersection	TER	0	1	33860786	25396885		
197	Intersection	TER	22	1	35402125	25111835		
198	Intersection	TER	22	1	33729297	25044924		
199	Intersection	TER	0	1	35302837	25391641		
200	Intersection	TER	0	1	33147192	24432281		
201	Intersection	TER	0	1	33921896	24704096		
202	Intersection	TER	0	1	33949642	24810474		
203	Intersection	TER	0	1	33866213	24816727		
204	Intersection	TER	22	1	33904616	24813845		
205	Intersection	TER	22	1	35364905	25104091		
206	Intersection	TER	22	1	33908008	24638478		
207	Intersection	TER	0	1	34897495	24725772		
208	Intersection	TER	0	1	33820689	25173440		
209	Intersection	TER	0	1	32981059	24593116		
210	Intersection	TER	0	1	34046676	25245784		
211	Intersection	TER	22	1	35133911	25124783		
212	Intersection	TER	0	1	34416516	24673699		
213	Intersection	TER	22	1	33590374	25090630		
214	Intersection	TER	22	1	33498397	25120947		
215	Intersection	TER	0	1	34181934	24753331		
216	Intersection	TER	22	1	33128352	24459901		
217	Intersection	TER	22	1	34278220	25078598		
218	Intersection	TER	0	1	33486718	24713890		
219	Intersection	TER	22	1	33912130	25073618		
220	Intersection	TER	0	1	33849839	24967516		
221	Intersection	TER	0	1	34047841	24597183		
222	Intersection	TER	22	1	34221578	24844796		
223	Intersection	TER	22	1	33867607	24999779		
224	Intersection	TER	0	1	33435963	25202564		
225	Intersection	TER	0	1	33266361	24987550		
226	Intersection	TER	0	1	35122134	25479395		
227	Intersection	TER	22	1	33169961	25008815		
228	Intersection	TER	0	1	33287120	24847426		
229	Intersection	TER	0	1	34650314	24844932		
230	Intersection	TER	0	1	34912718	24828747		
231	Intersection	TER	0	1	35124207	24933046		
232	Intersection	TER	0	1	34565547	24931728		
233	Intersection	TER	0	1	34842600	25039215		
234	Intersection	TER	0	1	34787813	25151475		
235	Intersection	TER	22	1	33274699	25225769		
236	Intersection	TER	0	1	34872707	25390721		
