ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
654	2005	3116	Power	TER	1000	Dist_Line
655	2005	3117	Power	TER	1000	Dist_Line
656	2007	3118	Power	TER	1000	Dist_Line
657	2013	3119	Power	TER	1000	Dist_Line
658	2003	3120	Power	TER	1000	Dist_Line
659	2005	3341	Power	TER	1000	Dist_Line
660	2005	3342	Power	TER	1000	Dist_Line
682	2005	3625	Power	TER	1000	Dist_Line
683	2005	3648	Power	TER	1000	Dist_Line
684	2005	3654	Power	TER	1000	Dist_Line
685	2005	3652	Power	TER	1000	Dist_Line
686	2005	3645	Power	TER	1000	Dist_Line
687	2005	3624	Power	TER	1000	Dist_Line
688	2005	3632	Power	TER	1000	Dist_Line
689	2012	3653	Power	TER	1000	Dist_Line
690	2012	3636	Power	TER	1000	Dist_Line
691	2012	3655	Power	TER	1000	Dist_Line
692	2012	3622	Power	TER	1000	Dist_Line
693	2012	3627	Power	TER	1000	Dist_Line
694	2012	3637	Power	TER	1000	Dist_Line
695	2012	3630	Power	TER	1000	Dist_Line
696	2012	3633	Power	TER	1000	Dist_Line
697	2012	3641	Power	TER	1000	Dist_Line
698	2012	3643	Power	TER	1000	Dist_Line
699	2012	3651	Power	TER	1000	Dist_Line
700	2012	3642	Power	TER	1000	Dist_Line
701	2012	3656	Power	TER	1000	Dist_Line
702	2012	3635	Power	TER	1000	Dist_Line
703	2012	3631	Power	TER	1000	Dist_Line
704	2012	3638	Power	TER	1000	Dist_Line
705	2012	3634	Power	TER	1000	Dist_Line
706	2012	3646	Power	TER	1000	Dist_Line
707	2012	3623	Power	TER	1000	Dist_Line
761	2004	5051	Power	Water	35	Dist_Line
762	2004	5052	Power	Water	35	Dist_Line
763	2004	5048	Power	Water	35	Dist_Line
764	2004	5049	Power	Water	35	Dist_Line
765	2004	5012	Power	Water	200	Dist_Line
766	2004	5047	Power	Water	35	Dist_Line
767	2004	5050	Power	Water	35	Dist_Line
768	2004	5046	Power	Water	35	Dist_Line
769	2004	5045	Power	Water	35	Dist_Line
770	2004	5043	Power	Water	35	Dist_Line
771	2004	5044	Power	Water	35	Dist_Line
772	2010	5038	Power	Water	50	Dist_Line
773	2012	5024	Power	Water	75	Dist_Line
774	2012	5023	Power	Water	75	Dist_Line
775	2010	5054	Power	Water	375	Dist_Line
776	2010	5042	Power	Water	75	Dist_Line
777	2010	5041	Power	Water	75	Dist_Line
778	2010	5016	Power	Water	80	Dist_Line
898	2013	5010	Power	Water	200	Dist_Line
899	2013	5057	Power	Water	35	Dist_Line
900	2013	5055	Power	Water	35	Dist_Line
901	2013	5053	Power	Water	35	Dist_Line
902	2013	5056	Power	Water	35	Dist_Line
903	2013	5058	Power	Water	35	Dist_Line
904	2007	5028	Power	Water	75	Dist_Line
905	2007	5029	Power	Water	75	Dist_Line
906	2004	5013	Power	Water	200	Dist_Line
